							GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP
s m y ʁ k a l	0	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	s m y ʁ k o	0	0	0.8005922431513316	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
s m y ʁ k a l	-0.695	No change	s m y ʁ k a l	-0.695	-1.39	0.1994077568486685	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1
v ø z a l	0	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	v ø z o	0	0	0.772766708973203	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
v ø z a l	-0.612	No change	v ø z a l	-0.612	-1.224	0.22723329102679693	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0
ɡ z o v ʁ a l	0	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	ɡ z o v ʁ o	0	0	0.8005922431513316	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ɡ z o v ʁ a l	-0.695	No change	ɡ z o v ʁ a l	-0.695	-1.39	0.1994077568486685	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1
o s k ʁ a j	0	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	o s k ʁ o	0	0	0.7231218051243898	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
o s k ʁ a j	-0.48	No change	o s k ʁ a j	-0.48	-0.96	0.2768781948756101	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	1
d e ʁ n a j	0	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	d e ʁ n o	0	0	0.7738185742694538	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
d e ʁ n a j	-0.615	No change	d e ʁ n a j	-0.615	-1.23	0.22618142573054614	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1
ʒ i s t a j	0	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	ʒ i s t o	0	0	0.7158564317287898	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ʒ i s t a j	-0.462	No change	ʒ i s t a j	-0.462	-0.924	0.2841435682712102	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1
ɡ u v a j	0	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	ɡ u v o	0	0	0.642906121361229	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ɡ u v a j	-0.294	No change	ɡ u v a j	-0.294	-0.588	0.357093878638771	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0
i s t ʁ a j	0	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	i s t ʁ o	0	0	0.7231218051243898	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
i s t ʁ a j	-0.48	No change	i s t ʁ a j	-0.48	-0.96	0.2768781948756101	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	1
m o ʁ n a j	0	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	m o ʁ n o	0	0	0.7738185742694538	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
m o ʁ n a j	-0.615	No change	m o ʁ n a j	-0.615	-1.23	0.22618142573054614	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1
o ʁ s o d a j	0	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	o ʁ s o d o	0	0	0.6886895621923972	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o ʁ s o d a j	-0.397	No change	o ʁ s o d a j	-0.397	-0.794	0.31131043780760287	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0
p e ʁ e t a j	0	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	p e ʁ e t o	0	0	0.6886895621923972	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p e ʁ e t a j	-0.397	No change	p e ʁ e t a j	-0.397	-0.794	0.31131043780760287	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0
