base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	e . .?$	o . .?$	r r$	e . .?$	o . .?$	r r$
b o t r	-2.094	Insert [k] at -1	b o t r k	0	-2.094	0.10834659302823652	0	1	0	0	0	0
b o t r	-6.518	Insert [o j] at -1	b o t r o j	0	-6.518	0.001298663012539704	0	1	0	0	0	0
b o t r	-6.518	Insert [i g] at -1	b o t r i g	0	-6.518	0.001298663012539704	0	1	0	0	0	0
b o t r	-6.519	Mutate the segment(s) at last nucleus to [+high]	b u t r	0	-6.519	0.0012973649986422794	0	1	0	0	0	0
b o t r	-6.613	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	b o r	0	-6.613	0.001180968994598583	0	1	0	0	0	0
b o t r	-6.613	Insert [w] at -1	b o t r w	0	-6.613	0.001180968994598583	0	1	0	0	0	0
b o t r	-6.613	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	b u t r	0	-6.613	0.001180968994598583	0	1	0	0	0	0
b o t r	-6.613	Insert [e] at -1	b o t r e	0	-6.613	0.001180968994598583	0	1	0	0	0	0
b o t r	-6.613	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	b o t r j	0	-6.613	0.001180968994598583	0	1	0	0	0	0
b o t r	-6.614	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	b o t r g	0	-6.614	0.001179788615891704	0	1	0	0	0	0
b o t r	-6.615	Insert [g] at -1	b o t r g	0	-6.615	0.0011786094169735364	0	1	0	0	0	0
b o t r	-6.518	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	b o t r	-6.518	-13.036	0.0000019176309852137425	0	1	0	0	1	0
b o t r	-6.518	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	b o t r	-6.518	-13.036	0.0000019176309852137425	0	1	0	0	1	0
b o t r	-6.613	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	b o t r	-6.613	-13.226	0.0000015858024587553104	0	1	0	0	1	0
b o t r	-6.613	Mutate the segment(s) at -4 to [-high,+glide]	b o t r	-6.613	-13.226	0.0000015858024587553104	0	1	0	0	1	0
b o t r	-6.613	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	b o t r	-6.613	-13.226	0.0000015858024587553104	0	1	0	0	1	0
b o t r	-6.614	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	b o t r	-6.657	-13.271	0.0000015160231572548167	0	1	0	0	1	0
b o t r	-6.613	Delete 4 segments at 13,15,17,19	b o t r	-6.708	-13.321000000000002	0.0000014420858354052529	0	1	0	0	1	0
C o s t r	0	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	C u s t r	0	0	0.05555113755374425	0	0	0	0	0	0
C o s t r	0	Mutate the segment(s) at last nucleus to [+glide]	C q s t r	0	0	0.05555113755374425	0	0	0	0	0	0
C o s t r	0	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	C o s t r g	0	0	0.05555113755374425	0	0	0	0	0	0
C o s t r	0	Mutate the segment(s) at last nucleus to [+high]	C u s t r	0	0	0.05555113755374425	0	0	0	0	0	0
C o s t r	0	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	C o s t r j	0	0	0.05555113755374425	0	0	0	0	0	0
C o s t r	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	C o s t r	0	0	0.05555113755374425	0	0	0	0	0	0
C o s t r	0	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	C o s t r	0	0	0.05555113755374425	0	0	0	0	0	0
